,CE_Symbol / PE_Symbol ,CE_entry_time / PE_entry_time,CE_entry_price,PE_entry_price,PE_exit_time,PE_exit_price,CE_exit_time,CE_exit_price,PnL,PnL Cumulative Sum,Equity,Rate Of Return,Drawdown,Month-Year
0,BANKNIFTY2020630200CE / BANKNIFTY2020630200PE,2020-02-04 09:20:00,207.6,223.65,2020-02-04 15:15:00,42.05,2020-02-04 09:31:00,237.6,3790.0000000000005,19573.75,419573.75,0.9475000000000001,0.0,2020-02-04 09:20:00
0,BANKNIFTY2020630700CE / BANKNIFTY2020630700PE,2020-02-05 09:20:00,172.65,160.1,2020-02-05 12:00:00,160.1,2020-02-05 09:21:00,202.65,-750.0,18823.75,418823.75,-0.1875,-750.0,2020-02-05 09:20:00
0,BANKNIFTY2020631100CE / BANKNIFTY2020631100PE,2020-02-06 09:20:00,120.45,120.65,2020-02-06 09:29:00,150.65,2020-02-06 09:38:00,120.45,-749.9999999999997,18073.75,418073.75,-0.18749999999999992,-1500.0,2020-02-06 09:20:00
0,BANKNIFTY2021331200CE / BANKNIFTY2021331200PE,2020-02-07 09:20:00,269.25,307.15,2020-02-07 09:33:00,337.15,2020-02-07 09:41:00,269.25,-750.0,17323.75,417323.75,-0.1875,-2250.0,2020-02-07 09:20:00
0,BANKNIFTY2021331100CE / BANKNIFTY2021331100PE,2020-02-10 09:20:00,220.0,246.85,2020-02-10 09:30:00,276.85,2020-02-10 09:36:00,220.0,-750.0,16573.75,416573.75,-0.1875,-3000.0,2020-02-10 09:20:00
0,BANKNIFTY2021331300CE / BANKNIFTY2021331300PE,2020-02-11 09:20:00,190.0,174.95,2020-02-11 15:15:00,125.25,2020-02-11 09:23:00,220.0,492.4999999999997,17066.25,417066.25,0.12312499999999993,-2507.5,2020-02-11 09:20:00
0,BANKNIFTY2021331500CE / BANKNIFTY2021331500PE,2020-02-12 09:20:00,143.8,127.5,2020-02-12 15:15:00,94.1,2020-02-12 15:15:00,121.7,1387.5000000000007,18453.75,418453.75,0.34687500000000016,-1120.0,2020-02-12 09:20:00
0,BANKNIFTY2021331400CE / BANKNIFTY2021331400PE,2020-02-13 09:20:00,100.6,81.25,2020-02-13 09:58:00,111.25,2020-02-13 15:15:00,0.1,1762.5,20216.25,420216.25,0.44062499999999993,0.0,2020-02-13 09:20:00
0,BANKNIFTY2022031400CE / BANKNIFTY2022031400PE,2020-02-14 09:20:00,238.05,239.55,2020-02-14 10:44:00,269.55,2020-02-14 15:15:00,79.9,3203.750000000001,23420.0,423420.0,0.8009375000000003,0.0,2020-02-14 09:20:00
0,BANKNIFTY2022031000CE / BANKNIFTY2022031000PE,2020-02-17 09:20:00,233.45,243.25,2020-02-17 09:21:00,273.25,2020-02-17 15:15:00,121.4,2051.249999999999,25471.25,425471.25,0.5128124999999998,0.0,2020-02-17 09:20:00
0,BANKNIFTY2022030600CE / BANKNIFTY2022030600PE,2020-02-18 09:20:00,185.85,216.1,2020-02-18 09:25:00,246.1,2020-02-18 15:15:00,171.95,-402.4999999999999,25068.75,425068.75,-0.10062499999999998,-402.5,2020-02-18 09:20:00
0,BANKNIFTY2022030900CE / BANKNIFTY2022030900PE,2020-02-19 09:20:00,119.35,172.8,2020-02-19 09:33:00,202.8,2020-02-19 14:51:00,119.35,-750.0000000000007,24318.75,424318.75,-0.18750000000000017,-1152.5,2020-02-19 09:20:00
0,BANKNIFTY2022030800CE / BANKNIFTY2022030800PE,2020-02-20 09:20:00,65.05,115.6,2020-02-20 15:15:00,0.1,2020-02-20 09:24:00,95.05,2137.4999999999995,26456.25,426456.25,0.5343749999999998,0.0,2020-02-20 09:20:00
0,BANKNIFTY20FEB30500CE / BANKNIFTY20FEB30500PE,2020-02-24 09:20:00,242.5,236.85,2020-02-24 09:26:00,266.85,2020-02-24 09:29:00,242.5,-750.0,25706.25,425706.25,-0.1875,-750.0,2020-02-24 09:20:00
0,BANKNIFTY20FEB30400CE / BANKNIFTY20FEB30400PE,2020-02-25 09:20:00,262.7,221.45,2020-02-25 09:32:00,221.45,2020-02-25 09:21:00,292.7,-750.0,24956.25,424956.25,-0.1875,-1500.0,2020-02-25 09:20:00
0,BANKNIFTY20FEB30300CE / BANKNIFTY20FEB30300PE,2020-02-26 09:20:00,187.4,185.5,2020-02-26 14:31:00,185.5,2020-02-26 13:44:00,217.4,-750.0000000000007,24206.25,424206.25,-0.18750000000000017,-2250.0,2020-02-26 09:20:00
0,BANKNIFTY20FEB30200CE / BANKNIFTY20FEB30200PE,2020-02-27 09:20:00,115.7,106.05,2020-02-27 09:31:00,136.05,2020-02-27 15:15:00,2.8,2072.4999999999995,26278.75,426278.75,0.518125,-177.5,2020-02-27 09:20:00
0,BANKNIFTY2030529500CE / BANKNIFTY2030529500PE,2020-02-28 09:20:00,485.3,393.3,2020-02-28 09:25:00,423.3,2020-02-28 15:15:00,260.05,4881.249999999998,31160.0,431160.0,1.2203124999999995,0.0,2020-02-28 09:20:00
0,BANKNIFTY2030529500CE / BANKNIFTY2030529500PE,2020-03-02 09:22:00,331.2,376.5,2020-03-02 09:27:00,406.5,2020-03-02 09:44:00,331.2,-749.9999999999986,30410.0,430410.0,-0.18749999999999967,-750.0,2020-03-02 09:22:00
0,BANKNIFTY2030529200CE / BANKNIFTY2030529200PE,2020-03-03 09:20:00,317.4,294.8,2020-03-03 09:33:00,294.8,2020-03-03 09:23:00,347.4,-749.9999999999986,29660.0,429660.0,-0.18749999999999967,-1500.0,2020-03-03 09:20:00
0,BANKNIFTY2030529000CE / BANKNIFTY2030529000PE,2020-03-04 09:20:00,302.45,237.9,2020-03-04 09:22:00,267.9,2020-03-04 09:27:00,302.45,-749.9999999999986,28910.0,428910.0,-0.18749999999999967,-2250.0,2020-03-04 09:20:00
